account,ticker,expiry,strike,opt_type,direction,strategy,open_date,close_date,open_amount,close_amount,net_pnl,premium,qty,n_legs,closed_by,dte_at_open,dte_bucket,holding_days,is_closed,is_win,month,year
2563,FSLY,2024-01-19,18.0,PUT,short,PUT_short,2023-12-29,2024-01-19,233.96,-25.52,208.44,233.96,1.0,4,buy_to_close,0,0-7 DTE,21.0,True,True,2023-12,2023
9939,AMD,2024-01-05,145.0,PUT,short,PUT_short,2023-12-29,2024-01-04,147.48,-850.51,-703.03,147.48,1.0,2,buy_to_close,1,0-7 DTE,6.0,True,False,2023-12,2023
9939,CHWY,2024-01-05,24.0,CALL,long,CALL_long,2023-12-29,2024-01-02,-137.02,34.97,-102.05,137.02,2.0,2,sell_to_close,3,0-7 DTE,4.0,True,False,2023-12,2023
2563,MU,2024-01-19,86.0,CALL,short,CALL_short,2023-12-29,2024-01-11,208.48,-26.51,181.97,208.48,1.0,2,buy_to_close,8,8-30 DTE,13.0,True,True,2023-12,2023
2563,UNH,2024-01-05,525.0,CALL,long,CALL_long,2023-12-29,2024-01-02,-465.51,1339.47,873.96,465.51,1.0,2,sell_to_close,3,0-7 DTE,4.0,True,True,2023-12,2023
2563,ILMN,2024-01-05,138.0,PUT,long,PUT_long,2023-12-29,2024-01-08,-260.51,0.0,-260.51,260.51,1.0,2,expiration,0,0-7 DTE,10.0,True,False,2023-12,2023
2563,META,2024-01-05,345.0,PUT,short,PUT_short,2023-12-29,2024-01-08,628.96,0.0,628.96,628.96,1.0,3,expiration,0,0-7 DTE,10.0,True,True,2023-12,2023
2563,NVDA,2023-12-29,505.0,CALL,long,CALL_long,2023-12-29,,-10.01,0.0,-10.01,10.01,1.0,1,open,0,0-7 DTE,,False,False,2023-12,2023
2563,SYM,2024-01-19,50.0,PUT,short,PUT_short,2023-12-29,2024-01-18,508.97,-1430.02,-921.05,508.97,2.0,3,buy_to_close,1,0-7 DTE,20.0,True,False,2023-12,2023
2563,ZM,2024-01-19,75.0,CALL,short,CALL_short,2023-12-29,2024-01-22,148.48,0.0,148.48,148.48,1.0,2,expiration,0,0-7 DTE,24.0,True,True,2023-12,2023
2563,ZS,2023-12-29,220.0,PUT,long,PUT_long,2023-12-29,,-6.01,0.0,-6.01,6.01,1.0,1,open,0,0-7 DTE,,False,False,2023-12,2023
2563,BITO,2024-01-05,21.0,CALL,short,CALL_short,2023-12-29,2024-01-08,57.48,0.0,57.48,57.48,1.0,2,expiration,0,0-7 DTE,10.0,True,True,2023-12,2023
2563,ZS,2024-01-05,220.0,PUT,short,PUT_short,2023-12-29,2024-01-03,239.48,-779.51,-540.03,239.48,1.0,2,buy_to_close,2,0-7 DTE,5.0,True,False,2023-12,2023
2563,CSCO,2023-12-29,50.0,CALL,long,CALL_long,2023-12-29,,-35.51,0.0,-35.51,35.51,1.0,1,open,0,0-7 DTE,,False,False,2023-12,2023
2563,ILMN,2023-12-29,140.0,PUT,long,PUT_long,2023-12-29,,-130.51,0.0,-130.51,130.51,1.0,1,open,0,0-7 DTE,,False,False,2023-12,2023
2563,FDX,2023-12-29,257.5,CALL,long,CALL_long,2023-12-29,,-6.01,0.0,-6.01,6.01,1.0,1,open,0,0-7 DTE,,False,False,2023-12,2023
2563,FDX,2024-01-05,257.5,CALL,short,CALL_short,2023-12-29,2024-01-08,160.48,0.0,160.48,160.48,1.0,2,expiration,0,0-7 DTE,10.0,True,True,2023-12,2023
2563,ZS,2023-12-29,220.0,CALL,long,CALL_long,2023-12-29,,-267.51,0.0,-267.51,267.51,1.0,1,open,0,0-7 DTE,,False,False,2023-12,2023
2563,ILMN,2024-01-05,141.0,PUT,short,PUT_short,2023-12-29,2024-01-08,417.48,0.0,417.48,417.48,1.0,2,expiration,0,0-7 DTE,10.0,True,True,2023-12,2023
2563,META,2024-01-19,340.0,CALL,long,CALL_long,2023-12-29,,-1890.51,0.0,-1890.51,1890.51,1.0,1,open,21,8-30 DTE,,False,False,2023-12,2023
2563,LUV,2024-01-19,32.0,PUT,long,PUT_long,2023-12-29,2024-01-08,-320.51,274.48,-46.03,320.51,1.0,2,sell_to_close,11,8-30 DTE,10.0,True,False,2023-12,2023
2563,PFE,2023-12-29,28.5,CALL,long,CALL_long,2023-12-29,,-19.51,0.0,-19.51,19.51,1.0,1,open,0,0-7 DTE,,False,False,2023-12,2023
2563,DIS,2023-12-29,92.0,PUT,long,PUT_long,2023-12-29,,-176.51,0.0,-176.51,176.51,1.0,1,open,0,0-7 DTE,,False,False,2023-12,2023
9939,FXI,2024-01-05,24.0,CALL,short,CALL_short,2023-12-29,2024-01-08,35.48,0.0,35.48,35.48,1.0,2,expiration,0,0-7 DTE,10.0,True,True,2023-12,2023
9939,FXI,2023-12-29,23.5,CALL,long,CALL_long,2023-12-29,,-51.51,0.0,-51.51,51.51,1.0,1,open,0,0-7 DTE,,False,False,2023-12,2023
2563,GOOG,2024-01-19,140.0,PUT,short,PUT_short,2023-12-29,2024-01-22,238.48,0.0,238.48,238.48,1.0,2,expiration,0,0-7 DTE,24.0,True,True,2023-12,2023
2563,GOOG,2023-12-29,142.0,PUT,long,PUT_long,2023-12-29,,-131.51,0.0,-131.51,131.51,1.0,1,open,0,0-7 DTE,,False,False,2023-12,2023
2563,DIS,2024-01-19,91.0,PUT,short,PUT_short,2023-12-29,2024-01-22,215.48,0.0,215.48,215.48,1.0,2,expiration,0,0-7 DTE,24.0,True,True,2023-12,2023
9939,COP,2024-01-05,117.0,CALL,short,CALL_short,2023-12-29,2024-01-05,134.48,-15.51,118.97,134.48,1.0,2,buy_to_close,0,0-7 DTE,7.0,True,True,2023-12,2023
2563,META,2023-12-29,345.0,PUT,long,PUT_long,2023-12-29,,-2.01,0.0,-2.01,2.01,1.0,1,open,0,0-7 DTE,,False,False,2023-12,2023
2563,PLUG,2023-12-29,4.5,CALL,long,CALL_long,2023-12-29,,-10.01,0.0,-10.01,10.01,1.0,1,open,0,0-7 DTE,,False,False,2023-12,2023
2563,AMD,2024-01-05,145.0,PUT,short,PUT_short,2023-12-29,2024-01-04,150.48,-822.51,-672.03,150.48,1.0,2,buy_to_close,1,0-7 DTE,6.0,True,False,2023-12,2023
2563,AMD,2024-01-05,150.0,CALL,short,CALL_short,2023-12-29,2024-01-02,226.48,-16.51,209.97,226.48,1.0,2,buy_to_close,3,0-7 DTE,4.0,True,True,2023-12,2023
2563,TAN,2024-01-19,54.0,PUT,short,PUT_short,2023-12-29,2024-01-17,214.48,0.0,214.48,214.48,1.0,2,expiration,2,0-7 DTE,19.0,True,True,2023-12,2023
2563,AMD,2024-01-19,145.0,CALL,long,CALL_long,2023-12-29,,-830.51,0.0,-830.51,830.51,1.0,1,open,21,8-30 DTE,,False,False,2023-12,2023
2563,AMD,2024-01-26,150.0,CALL,short,CALL_short,2023-12-29,2024-01-22,644.48,-1856.51,-1212.03,644.48,1.0,2,buy_to_close,4,0-7 DTE,24.0,True,False,2023-12,2023
9939,HDB,2024-01-19,65.0,PUT,short,PUT_short,2023-12-29,2024-01-17,49.48,0.0,49.48,49.48,1.0,2,expiration,2,0-7 DTE,19.0,True,True,2023-12,2023
2563,MU,2023-12-29,86.0,PUT,long,PUT_long,2023-12-29,,-40.51,0.0,-40.51,40.51,1.0,1,open,0,0-7 DTE,,False,False,2023-12,2023
9939,ENPH,2024-01-12,129.0,CALL,long,CALL_long,2023-12-29,2024-01-10,-1000.51,15.48,-985.03,1000.51,1.0,2,sell_to_close,2,0-7 DTE,12.0,True,False,2023-12,2023
2563,BP,2024-01-05,35.5,CALL,short,CALL_short,2023-12-29,2024-01-08,73.96,-74.51,-0.55,73.96,1.0,4,expiration,0,0-7 DTE,10.0,True,False,2023-12,2023
2563,AR,2024-01-19,22.0,PUT,short,PUT_short,2023-12-29,2024-01-19,56.48,-20.51,35.97,56.48,1.0,2,buy_to_close,0,0-7 DTE,21.0,True,True,2023-12,2023
9939,KSS,2024-01-05,28.0,PUT,short,PUT_short,2023-12-29,2024-01-05,42.48,-135.51,-93.03,42.48,1.0,2,buy_to_close,0,0-7 DTE,7.0,True,False,2023-12,2023
2563,NVDA,2024-01-05,502.5,CALL,short,CALL_short,2023-12-29,2024-01-04,454.48,-7.01,447.47,454.48,1.0,2,buy_to_close,1,0-7 DTE,6.0,True,True,2023-12,2023
9939,CBOE,2023-12-29,175.0,CALL,long,CALL_long,2023-12-29,,-390.51,0.0,-390.51,390.51,1.0,1,open,0,0-7 DTE,,False,False,2023-12,2023
9939,CBOE,2024-01-05,177.5,CALL,short,CALL_short,2023-12-29,2024-01-04,253.48,-15.51,237.97,253.48,1.0,2,buy_to_close,1,0-7 DTE,6.0,True,True,2023-12,2023
9939,LUV,2024-01-19,32.0,PUT,long,PUT_long,2023-12-29,2024-01-18,-317.51,379.48,61.97,317.51,1.0,2,sell_to_close,1,0-7 DTE,20.0,True,True,2023-12,2023
2563,CPB,2024-01-19,43.0,CALL,short,CALL_short,2023-12-29,2024-01-10,68.48,-118.51,-50.03,68.48,1.0,2,buy_to_close,9,8-30 DTE,12.0,True,False,2023-12,2023
2563,SOXL,2024-01-05,31.5,PUT,short,PUT_short,2023-12-29,2024-01-04,86.48,0.0,86.48,86.48,1.0,2,expiration,1,0-7 DTE,6.0,True,True,2023-12,2023
2563,SNAP,2024-01-05,16.0,CALL,long,CALL_long,2023-12-29,2024-01-08,-319.53,0.0,-319.53,319.53,3.0,2,expiration,0,0-7 DTE,10.0,True,False,2023-12,2023
